cal_yr_mo_nbr,brnd_cd,sales_exec
201401,nti,1
201401,gpx,1
201401,bll,0
201401,hgh,1
201401,ibh,0
201401,blr,0
201401,kcm,1
201401,chl,1
201401,bhl,0
201401,mgl,1
201402,bud,0
201402,bly,0
201402,bws,0
201402,mul,1
201402,sam,1
201402,hgh,1
201402,bsh,0
201402,bsf,0
201402,sta,1
201402,abn,1
201403,mgl,1
201403,ibh,0
201403,bhl,0
201403,chl,1
201403,gpx,1
201403,hgh,1
201403,kcm,1
201403,blr,0
201403,nti,1
201403,bll,0
201404,bsf,0
201404,bsh,0
201404,gpx,1
201404,chl,1
201404,sta,1
201404,blr,0
201404,blp,0
201404,bud,0
201404,rck,1
201404,abn,1
201405,mgl,1
201405,gpx,1
201405,kcm,1
201405,nti,1
201405,chl,1
201405,hgh,1
201405,bhl,0
201405,bll,0
201405,blr,0
201405,ibh,0
201406,gpx,1
201406,hgh,1
201406,ibh,0
201406,kcm,1
201406,mgl,1
201406,bhl,0
201406,chl,1
201406,blr,0
201406,nti,1
201406,bll,0
201407,ntd,1
201407,blr,0
201407,hgh,1
201407,sta,1
201407,bhl,0
201407,bdl,0
201407,ibh,0
201407,mgl,1
201407,nti,1
201407,bsh,0
201408,chl,1
201408,bws,0
201408,nti,1
201408,bll,0
201408,bdl,0
201408,bhl,0
201408,sam,1
201408,swa,1
201408,bsf,0
201408,kcm,1
201409,nti,1
201409,chl,1
201409,bll,0
201409,gpx,1
201409,blr,0
201409,mgl,1
201409,hgh,1
201409,kcm,1
201409,ibh,0
201409,bhl,0
201410,gpx,1
201410,bll,0
201410,mgl,1
201410,kcm,1
201410,nti,1
201410,chl,1
201410,ibh,0
201410,hgh,1
201410,blr,0
201410,bhl,0
201411,bud,0
201411,bkx,0
201411,bsh,0
201411,bws,0
201411,hgh,1
201411,bly,0
201411,idb,0
201411,mgl,1
201411,ntd,1
201411,sam,1
201412,swa,1
201412,blr,0
201412,mgl,1
201412,mul,1
201412,nti,1
201412,bly,0
201412,hgh,1
201412,bsh,0
201412,bdl,0
201412,bhl,0
201501,mgl,1
201501,bws,0
201501,sta,1
201501,bhl,0
201501,bla,0
201501,sam,1
201501,ntd,1
201501,bkx,0
201501,chl,1
201501,est,1
201502,swa,1
201502,bhl,0
201502,bdl,0
201502,mgl,1
201502,blr,0
201502,hgh,1
201502,mul,1
201502,bly,0
201502,bsh,0
201502,nti,1
201503,bll,0
201503,nti,1
201503,blr,0
201503,kcm,1
201503,chl,1
201503,ibh,0
201503,mgl,1
201503,gpx,1
201503,hgh,1
201503,bhl,0
201504,gpx,1
201504,ibh,0
201504,chl,1
201504,hgh,1
201504,bll,0
201504,kcm,1
201504,nti,1
201504,mgl,1
201504,bhl,0
201504,blr,0
201505,blr,0
201505,nti,1
201505,gpx,1
201505,chl,1
201505,mgl,1
201505,bll,0
201505,ibh,0
201505,hgh,1
201505,kcm,1
201505,bhl,0
201506,bll,0
201506,blr,0
201506,gpx,1
201506,mgl,1
201506,nti,1
201506,hgh,1
201506,kcm,1
201506,bhl,0
201506,ibh,0
201506,chl,1
201507,blr,0
201507,chl,1
201507,kcm,1
201507,ibh,0
201507,gpx,1
201507,mgl,1
201507,nti,1
201507,bhl,0
201507,bll,0
201507,hgh,1
201508,bud,0
201508,bsf,0
201508,mgl,1
201508,bll,0
201508,swa,1
201508,ibh,0
201508,rck,1
201508,sam,1
201508,nti,1
201508,bws,0
201509,est,1
201509,bws,0
201509,bud,0
201509,idb,0
201509,bsf,0
201509,blp,0
201509,sam,1
201509,bsh,0
201509,rck,1
201509,chl,1
201510,sam,1
201510,mul,1
201510,blp,0
201510,kcm,1
