cal_yr_mo_nbr,brnd_cd,sales_exec
201401,mul,0
201401,bsf,1
201401,bkx,1
201401,chl,0
201401,gpx,0
201401,bla,1
201401,kcm,0
201401,blr,1
201401,bhl,1
201401,mgl,0
201402,bsf,1
201402,bkx,1
201402,chl,0
201402,kcm,0
201402,mgl,0
201402,gpx,0
201402,blr,1
201402,bla,1
201402,mul,0
201402,bhl,1
201403,ntd,0
201403,idb,1
201403,abn,0
201403,blr,1
201403,gpx,0
201403,ibh,1
201403,mul,0
201403,bll,1
201403,sam,0
201403,bdl,1
201404,bsf,1
201404,bud,1
201404,est,0
201404,chl,0
201404,mgl,0
201404,bla,1
201404,bhl,1
201404,bws,1
201404,kcm,0
201404,bdl,1
201405,mgl,0
201405,bsf,1
201405,kcm,0
201405,mul,0
201405,blr,1
201405,chl,0
201405,bhl,1
201405,bkx,1
201405,bla,1
201405,gpx,0
201406,bws,1
201406,ibh,1
201406,kcm,0
201406,mul,0
201406,nti,0
201406,blp,1
201406,bsh,1
201406,bsf,1
201406,sta,0
201406,blr,1
201407,kcm,0
201407,bla,1
201407,bsf,1
201407,mul,0
201407,bkx,1
201407,bhl,1
201407,chl,0
201407,gpx,0
201407,mgl,0
201407,blr,1
201408,gpx,0
201408,bsh,1
201408,mgl,0
201408,blp,1
201408,bkx,1
201408,bll,1
201408,sam,0
201408,swa,0
201408,bly,1
201408,idb,1
201409,mul,0
201409,blr,1
201409,bkx,1
201409,bsf,1
201409,bla,1
201409,mgl,0
201409,chl,0
201409,kcm,0
201409,gpx,0
201409,bhl,1
201410,gpx,0
201410,bll,1
201410,nti,0
201410,ntd,0
201410,swa,0
201410,bly,1
201410,mul,0
201410,kcm,0
201410,blr,1
201410,bdl,1
201411,blr,1
201411,bhl,1
201411,bla,1
201411,bsf,1
201411,chl,0
201411,bkx,1
201411,gpx,0
201411,kcm,0
201411,mgl,0
201411,mul,0
201412,mul,0
201412,bla,1
201412,gpx,0
201412,kcm,0
201412,mgl,0
201412,blr,1
201412,chl,0
201412,bsf,1
201412,bhl,1
201412,bkx,1
201501,mul,0
201501,bsf,1
201501,swa,0
201501,bkx,1
201501,bly,1
201501,sam,0
201501,rck,0
201501,bll,1
201501,bud,1
201501,bws,1
201502,mul,0
201502,bkx,1
201502,bhl,1
201502,gpx,0
201502,bla,1
201502,chl,0
201502,kcm,0
201502,blr,1
201502,bsf,1
201502,mgl,0
201503,bkx,1
201503,mul,0
201503,bla,1
201503,kcm,0
201503,blr,1
201503,gpx,0
201503,mgl,0
201503,bsf,1
201503,chl,0
201503,bhl,1
201504,bsf,1
201504,gpx,0
201504,blr,1
201504,chl,0
201504,bkx,1
201504,kcm,0
201504,mul,0
201504,mgl,0
201504,bhl,1
201504,bla,1
201505,blp,1
201505,sam,0
201505,bly,1
201505,blr,1
201505,nti,0
201505,bkx,1
201505,bws,1
201505,bud,1
201505,ibh,1
201505,bhl,1
201506,bkx,1
201506,bla,1
201506,bsf,1
201506,mgl,0
201506,mul,0
201506,chl,0
201506,kcm,0
201506,bhl,1
201506,gpx,0
201506,blr,1
201507,bla,1
201507,blr,1
201507,kcm,0
201507,gpx,0
201507,bsf,1
201507,mgl,0
201507,mul,0
201507,bhl,1
201507,bkx,1
201507,chl,0
201508,bws,1
201508,bsh,1
201508,gpx,0
201508,bhl,1
201508,swa,0
201508,est,0
201508,sam,0
201508,sta,0
201508,idb,1
201508,chl,0
201509,ibh,1
201509,est,0
201509,bsh,1
201509,kcm,0
201509,bll,1
201509,abn,0
201509,sta,0
201509,bly,1
201509,ntd,0
201509,gpx,0
201510,mul,0
201510,gpx,0
201510,bkx,1
201510,chl,0
201510,blr,1
201510,bsf,1
201510,kcm,0
201510,bhl,1
201510,bla,1
201510,mgl,0
201511,hgh,0
201511,blp,1
201511,sam,0
201511,sta,0
201511,gpx,0
201511,idb,1
201511,rck,0
201511,bud,1
201511,bly,1
201511,kcm,0
201512,gpx,0
201512,mul,0
201512,ntd,0
201512,swa,0
201512,bdl,1
201512,nti,0
201512,kcm,0
201512,bly,1
201512,blr,1
201512,bll,1
201601,abn,0
201601,bkx,1
201601,bsh,1
201601,chl,0
201601,rck,0
201601,mul,0
201601,ibh,1
201601,blp,1
201601,swa,0
201601,bdl,1
201602,bsf,1
201602,bla,1
201602,bhl,1
201602,gpx,0
201602,mgl,0
201602,blr,1
201602,chl,0
201602,mul,0
201602,bkx,1
201602,kcm,0
201603,kcm,0
201603,mul,0
201603,blr,1
201603,bla,1
201603,chl,0
201603,bsf,1
201603,bkx,1
201603,bhl,1
201603,mgl,0
201603,gpx,0
201604,mgl,0
201604,chl,0
201604,gpx,0
201604,bla,1
201604,bsf,1
201604,mul,0
