cal_yr_mo_nbr,brnd_cd,sales_exec
201401,rck,1
201401,hgh,1
201401,bll,0
201401,idb,1
201401,kcm,0
201401,blp,0
201401,mul,0
201401,bly,0
201401,bla,0
201401,nti,1
201402,gpx,1
201402,blp,0
201402,ntd,1
201402,rck,1
201402,sam,0
201402,nti,1
201402,chl,1
201402,bud,1
201402,sta,0
201402,bll,0
201403,ntd,1
201403,idb,1
201403,abn,1
201403,bly,0
201403,bud,1
201403,chl,1
201403,mul,0
201403,blr,0
201403,rck,1
201403,bll,0
201404,blr,0
201404,chl,1
201404,sam,0
201404,mul,0
201404,swa,0
201404,bkx,1
201404,bdl,0
201404,gpx,1
201404,sta,0
201404,abn,1
201405,nti,1
201405,hgh,1
201405,mul,0
201405,rck,1
201405,bly,0
201405,idb,1
201405,bla,0
201405,bll,0
201405,blp,0
201405,kcm,0
201406,hgh,1
201406,idb,1
201406,kcm,0
201406,mul,0
201406,nti,1
201406,bla,0
201406,bly,0
201406,blp,0
201406,rck,1
201406,bll,0
201407,mul,0
201407,blp,0
201407,hgh,1
201407,rck,1
201407,bll,0
201407,bla,0
201407,idb,1
201407,kcm,0
201407,nti,1
201407,bly,0
201408,kcm,0
201408,idb,1
201408,sam,0
201408,chl,1
201408,bhl,1
201408,bsh,0
201408,sta,0
201408,swa,0
201408,gpx,1
201408,mgl,1
201409,rck,1
201409,bly,0
201409,bll,0
201409,hgh,1
201409,blp,0
201409,nti,1
201409,idb,1
201409,mul,0
201409,kcm,0
201409,bla,0
201410,hgh,1
201410,bll,0
201410,nti,1
201410,mul,0
201410,rck,1
201410,bly,0
201410,kcm,0
201410,idb,1
201410,blp,0
201410,bla,0
201411,bly,0
201411,bla,0
201411,blp,0
201411,hgh,1
201411,idb,1
201411,bll,0
201411,kcm,0
201411,mul,0
201411,nti,1
201411,rck,1
201412,rck,1
201412,blp,0
201412,kcm,0
201412,mul,0
201412,nti,1
201412,bly,0
201412,idb,1
201412,hgh,1
201412,bla,0
201412,bll,0
201501,kcm,0
201501,bly,0
201501,rck,1
201501,bla,0
201501,blp,0
201501,nti,1
201501,mul,0
201501,bll,0
201501,hgh,1
201501,idb,1
201502,sta,0
201502,bhl,1
201502,abn,1
201502,gpx,1
201502,bll,0
201502,chl,1
201502,rck,1
201502,blr,0
201502,bsh,0
201502,sam,0
201503,bll,0
201503,rck,1
201503,blp,0
201503,mul,0
201503,bly,0
201503,kcm,0
201503,nti,1
201503,hgh,1
201503,idb,1
201503,bla,0
201504,idb,1
201504,mul,0
201504,chl,1
201504,mgl,1
201504,bkx,1
201504,nti,1
201504,sta,0
201504,sam,0
201504,abn,1
201504,blp,0
201505,blp,0
201505,rck,1
201505,hgh,1
201505,bly,0
201505,nti,1
201505,bll,0
201505,kcm,0
201505,idb,1
201505,mul,0
201505,bla,0
201506,bll,0
201506,blp,0
201506,hgh,1
201506,nti,1
201506,rck,1
201506,idb,1
201506,mul,0
201506,bla,0
201506,kcm,0
201506,bly,0
201507,blp,0
201507,chl,1
201507,nti,1
201507,mul,0
201507,idb,1
201507,sam,0
201507,sta,0
201507,abn,1
201507,bkx,1
201507,mgl,1
201508,bly,0
201508,blp,0
201508,chl,1
201508,abn,1
201508,rck,1
201508,bud,1
201508,idb,1
201508,mgl,1
201508,est,1
201508,bsf,0
201509,kcm,0
201509,hgh,1
201509,bly,0
201509,mul,0
201509,bll,0
201509,bla,0
201509,rck,1
201509,blp,0
201509,nti,1
201509,idb,1
201510,nti,1
201510,bws,1
201510,bla,0
201510,bud,1
201510,bly,0
201510,bsh,0
201510,est,1
201510,abn,1
201510,blr,0
201510,hgh,1
201511,ibh,0
201511,bdl,0
201511,sam,0
201511,sta,0
201511,hgh,1
201511,kcm,0
201511,ntd,1
201511,bkx,1
201511,bhl,1
201511,mul,0
201512,bsh,0
201512,bws,1
201512,est,1
201512,nti,1
201512,bdl,0
201512,gpx,1
201512,bud,1
201512,bsf,0
201512,blr,0
201512,bhl,1
201601,bdl,0
201601,bll,0
201601,bws,1
201601,gpx,1
201601,sam,0
201601,ntd,1
201601,mgl,1
201601,bly,0
201601,sta,0
201601,bkx,1
201602,bws,1
201602,blp,0
201602,abn,1
201602,mgl,1
201602,sta,0
201602,bly,0
201602,ibh,0
201602,swa,0
201602,bkx,1
201602,nti,1
201603,mul,0
201603,rck,1
201603,bly,0
201603,blp,0
201603,idb,1
201603,hgh,1
201603,bll,0
201603,bla,0
201603,nti,1
201603,kcm,0
201604,sta,0
201604,est,1
201604,kcm,0
201604,blr,0
201604,bud,1
201604,swa,0
201604,nti,1
201604,bla,0
201604,abn,1
201604,bly,0
201605,nti,1
201605,rck,1
201605,kcm,0
201605,bla,0
201605,blp,0
201605,bll,0
201605,bly,0
201605,hgh,1
201605,mul,0
201605,idb,1
201606,mul,0
201606,bhl,1
201606,nti,1
201606,bdl,0
