cal_yr_mo_nbr,brnd_cd,sales_exec
201401,sta,1
201401,bws,0
201401,bll,1
201401,idb,1
201401,mgl,1
201401,blp,0
201401,ntd,0
201401,blr,0
201401,abn,0
201401,rck,1
201402,kcm,1
201402,chl,1
201402,ntd,0
201402,rck,1
201402,sta,1
201402,nti,1
201402,ibh,0
201402,hgh,1
201402,swa,0
201402,blr,0
201403,sta,1
201403,ibh,0
201403,bhl,0
201403,bws,0
201403,chl,1
201403,hgh,1
201403,ntd,0
201403,bsh,0
201403,swa,0
201403,blr,0
201404,ibh,0
201404,kcm,1
201404,rck,1
201404,nti,1
201404,swa,0
201404,hgh,1
201404,chl,1
201404,ntd,0
201404,sta,1
201404,blr,0
201405,rck,1
201405,bsf,0
201405,est,1
201405,sta,1
201405,bly,0
201405,bsh,0
201405,bkx,0
201405,bll,1
201405,blr,0
201405,bud,1
201406,bll,1
201406,blr,0
201406,bly,0
201406,gpx,1
201406,hgh,1
201406,abn,0
201406,bla,0
201406,bkx,0
201406,nti,1
201406,bhl,0
201407,ntd,0
201407,blp,0
201407,bws,0
201407,sta,1
201407,bll,1
201407,abn,0
201407,idb,1
201407,mgl,1
201407,rck,1
201407,blr,0
201408,mgl,1
201408,kcm,1
201408,rck,1
201408,chl,1
201408,bud,1
201408,bws,0
201408,sam,0
201408,sta,1
201408,gpx,1
201408,nti,1
201409,ntd,0
201409,bly,0
201409,bhl,0
201409,chl,1
201409,bkx,0
201409,idb,1
201409,gpx,1
201409,ibh,0
201409,hgh,1
201409,abn,0
201410,kcm,1
201410,chl,1
201410,sta,1
201410,rck,1
201410,swa,0
201410,ibh,0
201410,nti,1
201410,ntd,0
201410,hgh,1
201410,blr,0
201411,chl,1
201411,abn,0
201411,bll,1
201411,est,1
201411,ibh,0
201411,bdl,1
201411,kcm,1
201411,mul,1
201411,ntd,0
201411,rck,1
201412,swa,0
201412,hgh,1
201412,nti,1
201412,rck,1
201412,sta,1
201412,ibh,0
201412,ntd,0
201412,kcm,1
201412,blr,0
201412,chl,1
201501,mgl,1
201501,gpx,1
201501,sam,0
201501,abn,0
201501,bsf,0
201501,rck,1
201501,mul,1
201501,bla,0
201501,ibh,0
201501,idb,1
201502,ntd,0
201502,bdl,1
201502,abn,0
201502,hgh,1
201502,bla,0
201502,bws,0
201502,ibh,0
201502,blp,0
201502,bly,0
201502,idb,1
201503,blr,0
201503,swa,0
201503,bsh,0
201503,ntd,0
201503,bws,0
201503,ibh,0
201503,sta,1
201503,chl,1
201503,hgh,1
201503,bhl,0
201504,ibh,0
201504,kcm,1
201504,gpx,1
201504,idb,1
201504,bhl,0
201504,nti,1
201504,swa,0
201504,rck,1
201504,abn,0
201504,bud,1
201505,bhl,0
201505,sta,1
201505,chl,1
201505,bws,0
201505,rck,1
201505,bdl,1
201505,gpx,1
201505,est,1
201505,hgh,1
201505,abn,0
201506,blp,0
201506,bly,0
201506,chl,1
201506,sta,1
201506,swa,0
201506,hgh,1
201506,rck,1
201506,bdl,1
201506,idb,1
201506,bws,0
201507,bud,1
201507,gpx,1
201507,sam,0
201507,rck,1
201507,mgl,1
201507,sta,1
201507,swa,0
201507,bla,0
201507,bsf,0
201507,ntd,0
201508,hgh,1
201508,chl,1
201508,ntd,0
201508,blr,0
201508,swa,0
201508,kcm,1
201508,rck,1
201508,sta,1
201508,nti,1
