cal_yr_mo_nbr,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10
201401,sta,rck,bws,bll,idb,mgl,blp,ntd,blr,abn,1,1,0,1,1,1,0,0,0,0
201402,kcm,blr,chl,ntd,rck,sta,nti,ibh,hgh,swa,1,0,1,0,1,1,1,0,1,0
201403,sta,blr,ibh,bhl,bws,chl,hgh,ntd,bsh,swa,1,0,0,0,0,1,1,0,0,0
201404,ibh,blr,kcm,rck,nti,swa,hgh,chl,ntd,sta,0,0,1,1,1,0,1,1,0,1
201405,rck,bud,bsf,est,sta,bly,bsh,bkx,bll,blr,1,1,0,1,1,0,0,0,1,0
201406,bll,bhl,blr,bly,gpx,hgh,abn,bla,bkx,nti,1,0,0,0,1,1,0,0,0,1
201407,ntd,blr,blp,bws,sta,bll,abn,idb,mgl,rck,0,0,0,0,1,1,0,1,1,1
201408,mgl,nti,kcm,rck,chl,bud,bws,sam,sta,gpx,1,1,1,1,1,1,0,0,1,1
201409,ntd,abn,bly,bhl,chl,bkx,idb,gpx,ibh,hgh,0,0,0,0,1,0,1,1,0,1
201410,kcm,blr,chl,sta,rck,swa,ibh,nti,ntd,hgh,1,0,1,1,1,0,0,1,0,1
201411,chl,rck,abn,bll,est,ibh,bdl,kcm,mul,ntd,1,1,0,1,1,0,1,1,1,0
201412,swa,chl,hgh,nti,rck,sta,ibh,ntd,kcm,blr,0,1,1,1,1,1,0,0,1,0
201501,mgl,idb,gpx,sam,abn,bsf,rck,mul,bla,ibh,1,1,1,0,0,0,1,1,0,0
201502,ntd,idb,bdl,abn,hgh,bla,bws,ibh,blp,bly,0,1,1,0,1,0,0,0,0,0
201503,blr,bhl,swa,bsh,ntd,bws,ibh,sta,chl,hgh,0,0,0,0,0,0,0,1,1,1
201504,ibh,bud,kcm,gpx,idb,bhl,nti,swa,rck,abn,0,1,1,1,1,0,1,0,1,0
201505,bhl,abn,sta,chl,bws,rck,bdl,gpx,est,hgh,0,0,1,1,0,1,1,1,1,1
201506,blp,bws,bly,chl,sta,swa,hgh,rck,bdl,idb,0,0,0,1,1,0,1,1,1,1
201507,bud,ntd,gpx,sam,rck,mgl,sta,swa,bla,bsf,1,0,1,0,1,1,1,0,0,0
201508,hgh,ibh,chl,ntd,blr,swa,kcm,rck,sta,nti,1,0,1,0,0,0,1,1,1,1
201509,ibh,hgh,gpx,chl,idb,bla,bhl,swa,bsf,sta,0,1,1,1,1,0,0,0,0,1
201510,swa,sta,nti,chl,ntd,ibh,kcm,rck,blr,hgh,0,1,1,1,0,0,1,1,0,1
201511,gpx,mul,bly,nti,sta,bws,mgl,ntd,bsh,bsf,1,1,0,1,1,0,1,0,0,0
201512,hgh,bll,mul,ntd,sam,bkx,rck,ibh,chl,blp,1,1,1,0,0,0,1,0,1,0
201601,blr,chl,hgh,kcm,ntd,sta,rck,nti,ibh,swa,0,1,1,1,0,1,1,1,0,0
201602,bly,ibh,bla,abn,hgh,idb,blp,bws,ntd,bdl,0,0,0,0,1,1,0,0,0,1
201603,mul,idb,sta,bla,bkx,bsf,blr,bhl,abn,rck,1,1,1,0,0,0,0,0,0,1
201604,mgl,bud,est,gpx,bsf,bws,ntd,ibh,blr,bla,1,1,1,1,0,0,0,0,0,0
201605,ibh,bsh,nti,est,abn,bla,bdl,blp,blr,hgh,0,0,1,1,0,0,1,0,0,1
201606,est,bsf,blr,ntd,bla,nti,bsh,bhl,sam,bud,1,0,0,0,0,1,0,0,0,1
201607,bll,gpx,blp,bla,ntd,bsf,est,kcm,blr,chl,1,1,0,0,0,0,1,1,0,1
201608,blr,nti,hgh,chl,kcm,swa,sta,rck,ibh,ntd,0,1,1,1,1,0,1,1,0,0
201609,nti,kcm,ntd,blr,rck,hgh,ibh,swa,sta,chl,1,1,0,0,1,1,0,0,1,1
201610,bla,nti,swa,bsh,mgl,bsf,bhl,blr,sta,est,0,1,0,0,1,0,0,0,1,1
201611,blp,hgh,bll,sta,bsf,bsh,chl,mul,ibh,blr,0,1,1,1,0,0,1,1,0,0
201612,nti,est,ntd,bly,abn,blr,sta,idb,bll,bdl,1,1,0,0,0,0,1,1,1,1
201701,bsh,bla,kcm,nti,hgh,est,rck,sta,bsf,bhl,0,0,1,1,1,1,1,1,0,0
201702,hgh,chl,nti,rck,ibh,kcm,swa,blr,sta,ntd,1,1,1,1,0,1,0,0,1,0
201703,nti,kcm,chl,ntd,hgh,rck,sta,blr,ibh,swa,1,1,1,0,1,1,1,0,0,0
201704,swa,hgh,ntd,nti,ibh,blr,chl,rck,kcm,sta,0,1,0,1,0,0,1,1,1,1
201705,sta,abn,bly,bll,blr,ntd,nti,bdl,idb,est,1,0,0,1,0,0,1,1,1,1
201706,sta,swa,bla,idb,bsf,chl,gpx,ibh,hgh,bhl,1,0,0,1,0,1,1,0,1,0
